Hora/Día,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
0:00,1,,3,,,1,,1,,,,,,,,,,,,,,,1,1,,,1,,1,
1:00,4,1,5,6,3,,,1,2,2,5,6,,1,1,6,3,3,4,,,3,,2,1,4,,,3,3
2:00,14,13,7,7,14,,,11,8,9,6,11,,3,10,10,14,10,10,,,5,5,6,10,10,,,9,7
3:00,15,8,9,11,11,,,11,9,8,14,17,5,1,9,14,7,12,16,,,3,15,10,6,12,1,,8,11
4:00,9,6,7,7,10,,,13,4,4,7,13,8,1,13,9,9,10,7,4,,4,14,9,9,7,2,,12,4
5:00,12,7,1,8,8,,,6,6,5,7,3,5,,10,12,7,4,14,2,,3,12,11,7,8,3,,6,4
6:00,5,5,2,5,7,1,,4,4,7,8,1,4,1,7,4,7,3,7,3,,6,6,7,6,5,,,5,5
7:00,12,9,74,15,17,1,1,16,19,15,6,18,5,,19,19,19,10,13,2,,12,43,20,26,11,6,,14,16
8:00,1391,17,1790,1415,1369,6,4,1544,1302,1375,1314,1190,15,11,1403,1353,1235,1217,1234,303,13,117,386,1504,1245,14,318,6,1419,1314
9:00,1631,185,1872,1515,1395,10,8,1707,1397,1416,1325,1355,23,15,1548,1372,1325,1339,1221,425,26,,1950,1481,1319,29,383,10,1778,1428
10:00,1650,209,1889,1528,165,24,10,1808,1367,1499,1404,1354,61,16,1540,1529,1336,1304,1310,412,12,,2095,1478,1398,57,448,15,1866,1448
11:00,1209,,1801,1479,2,21,7,1530,1301,1331,1229,1284,43,16,1509,1383,1250,1298,1328,405,7,,1927,1424,1255,55,399,19,1767,1552
12:00,1175,,1291,904,1102,17,14,1345,1020,907,847,958,16,14,967,931,898,931,927,297,5,,1304,1019,994,33,344,9,1200,1104
13:00,1008,,1175,768,1153,8,11,1162,846,788,742,768,6,5,816,868,773,766,743,252,1,,1109,907,853,9,195,4,1041,826
14:00,1274,,1447,1086,1275,5,1,1444,1253,1153,976,1009,,,1108,1096,1045,1051,1000,248,,46,1529,1265,1027,3,180,6,1447,1114
15:00,1520,,1503,1179,1457,2,,1661,1203,1072,959,1090,,,1348,1147,1137,1099,1054,292,,5,1629,1212,766,,137,2,1548,1056
16:00,1047,,1028,723,918,1,,1232,642,602,443,499,1,2,859,595,639,494,537,157,,,947,612,280,1,33,2,1079,524
17:00,72,,81,13,51,,,78,24,24,10,16,,,174,7,14,17,12,1,,,36,11,9,1,,1,260,28
18:00,7,,1,4,2,1,5,4,1,14,1,2,2,,6,2,1,,,,,2,3,,1,,1,1,4,4
19:00,3,,4,3,1,,,2,4,11,1,1,,2,3,1,1,1,,,,2,3,2,1,,,,1,1
20:00,,,3,1,,1,1,2,1,1,1,1,,1,,1,3,,2,1,,,1,2,,,,3,4,2
21:00,2,,1,4,1,,1,5,4,2,4,1,1,2,4,1,1,2,,,,2,4,1,2,2,,1,3,
22:00,3,14,2,2,,,3,2,2,3,1,2,1,3,3,5,2,,,,2,,,2,2,1,,3,,
23:00,,2,1,,,1,2,2,,3,2,,,2,1,2,2,1,,,1,39,,,,,1,1,,2
TOTAL,12064,476,13997,10683,8961,100,68,13591,10419,10251,9312,9599,196,96,11358,10367,9728,9572,9439,2804,67,249,13019,10986,9217,262,2452,83,13475,10453
